Date,Open,High,Low,Close,Volume
2000-12-29,30.88,31.31,28.62,29.06,29118900
2000-12-28,30.56,31.62,30.38,31.06,24503200
2000-12-27,30.38,31.06,29.38,30.69,25048500
2000-12-26,31.50,32.19,30.00,30.94,19854300
2000-12-22,30.38,32.00,30.00,31.88,34787300
2000-12-21,27.81,30.25,27.31,29.50,45875000
2000-12-20,28.06,29.81,27.50,28.50,53513900
2000-12-19,31.81,33.12,30.00,30.62,57065000
2000-12-18,30.00,32.44,29.94,32.00,60536600
2000-12-15,29.44,30.08,28.19,28.56,6027200
2000-12-14,29.25,29.94,26.38,27.50,40588800
2000-12-13,31.94,32.00,28.25,28.38,37050000
2000-12-12,31.88,32.50,30.41,30.75,25818200
2000-12-11,30.50,32.25,30.00,31.94,48343000
2000-12-08,30.25,30.62,28.62,30.06,38443900
2000-12-07,29.62,29.94,27.56,28.31,39998500
2000-12-06,31.19,31.62,29.31,30.19,40885100
2000-12-05,29.44,31.62,28.88,31.50,57834900
2000-12-04,26.25,29.56,26.19,28.19,39926800
2000-12-01,26.38,27.88,25.50,26.44,48105600
2000-11-30,21.75,27.62,21.50,26.50,81105600
2000-11-29,23.12,23.62,21.00,22.88,72610700
2000-11-28,23.50,23.81,22.25,22.66,42044200
2000-11-27,25.44,25.81,22.88,23.12,44453200
2000-11-24,23.38,24.25,23.12,24.12,21572100
2000-11-22,23.62,24.06,22.06,22.31,52625100
2000-11-21,24.81,25.62,23.62,23.88,57699500
2000-11-20,24.38,25.88,24.00,24.75,87847600
2000-11-17,26.94,29.25,24.62,28.81,49174000
2000-11-16,28.75,29.81,27.25,27.38,37535200
2000-11-15,28.81,29.44,27.70,28.88,49872600
2000-11-14,27.44,29.00,26.50,28.38,75975600
2000-11-13,25.12,25.88,23.50,24.75,60872300
2000-11-10,26.38,26.94,24.88,25.44,53122800
2000-11-09,24.69,27.38,24.06,27.19,66336200
2000-11-08,27.38,27.50,24.50,24.81,62434000
2000-11-07,28.25,28.44,25.62,26.56,57857700
2000-11-06,30.69,31.00,27.50,27.94,75551500
2000-11-03,31.50,31.75,29.50,30.31,63976500
2000-11-02,32.44,32.50,27.25,29.56,47930300
2000-11-01,32.81,33.19,30.38,31.38,61776100
2000-10-31,32.62,34.75,32.50,33.00,39758300
2000-10-30,33.75,34.12,31.38,31.62,34714500
2000-10-27,34.50,35.19,33.00,34.19,33593800
2000-10-26,34.75,35.88,30.94,34.06,48954000
2000-10-25,36.50,36.62,34.00,34.38,32569300
2000-10-24,35.00,36.56,34.50,35.81,35771900
2000-10-23,34.75,35.25,33.38,34.06,27330300
2000-10-20,36.12,36.50,34.94,35.25,33303400
2000-10-19,36.00,36.50,34.62,36.38,38096400
2000-10-18,31.56,35.38,30.50,33.56,51707800
2000-10-17,0.00,34.44,31.50,33.69,28525800
2000-10-16,36.56,37.00,33.38,34.56,35562700
2000-10-13,31.00,35.75,30.25,35.62,37681900
2000-10-12,63.81,64.88,61.75,63.00,24928200
2000-10-11,63.00,65.98,62.00,62.25,35230500
2000-10-10,66.06,67.25,63.31,64.62,25063100
2000-10-09,67.63,68.75,65.12,66.75,20037000
2000-10-06,69.25,71.62,66.88,67.62,26053300
2000-10-05,68.31,69.62,66.50,68.31,26880800
2000-10-04,66.00,70.75,60.50,68.12,1129700
2000-10-03,79.81,81.61,68.38,69.50,46673100
2000-10-02,79.75,82.12,77.72,78.75,22447300
2000-09-29,81.36,81.69,78.25,78.75,16264500
2000-09-28,79.50,82.19,78.38,81.48,20576500
2000-09-27,80.19,80.94,78.00,79.88,23617800
2000-09-26,79.31,81.00,78.62,79.44,19629500
2000-09-25,81.13,82.56,78.25,78.75,17010600
2000-09-22,75.94,80.77,75.50,80.73,29152300
2000-09-21,79.44,80.00,74.50,78.94,13021900
2000-09-20,79.00,80.62,77.50,79.94,18472600
2000-09-19,77.44,79.75,76.12,79.31,26274100
2000-09-18,78.81,80.00,74.75,76.47,36145200
2000-09-15,81.13,82.88,77.81,78.31,7661000
2000-09-14,86.38,86.62,82.56,84.94,31899400
2000-09-13,77.75,82.75,76.94,81.81,33374900
2000-09-12,83.00,85.31,78.00,79.38,24016400
2000-09-11,86.06,86.75,82.38,83.44,20492500
2000-09-08,90.81,90.88,86.31,86.56,16808700
2000-09-07,90.13,91.75,89.50,91.19,13867000
2000-09-06,91.38,91.75,89.06,89.25,18700700
2000-09-05,92.38,92.81,90.56,91.06,12434600
2000-09-01,92.20,92.94,90.88,92.62,14897000
2000-08-31,88.44,91.06,88.44,90.94,18598300
2000-08-30,87.69,88.81,87.12,88.25,13298500
2000-08-29,86.83,89.27,86.56,87.75,18422500
2000-08-28,0.00,87.94,84.94,86.75,12669300
2000-08-25,84.69,86.81,84.50,84.62,13037000
2000-08-24,82.88,85.06,82.69,84.69,19622800
2000-08-23,82.94,83.12,81.00,82.88,12446600
2000-08-22,82.88,84.19,82.19,83.56,11395700
2000-08-21,82.12,83.38,80.77,83.19,10018500
2000-08-18,83.50,84.75,81.12,81.31,15128500
2000-08-17,80.88,84.06,80.81,83.94,14493100
2000-08-16,81.38,82.25,81.06,81.19,11196000
2000-08-15,81.94,83.56,81.00,81.25,15239500
2000-08-14,80.19,82.56,79.88,82.38,10748800
2000-08-11,79.94,81.94,79.25,81.12,10948900
2000-08-10,81.44,82.38,80.00,80.06,11931600
2000-08-09,83.50,84.28,81.06,81.38,15168100
2000-08-08,81.00,83.50,80.81,83.00,17174800
2000-08-07,80.88,82.38,80.75,81.88,19628900
2000-08-04,78.31,82.31,78.12,81.56,36366400
2000-08-03,72.81,78.00,71.62,77.44,21593500
2000-08-02,73.00,75.25,72.38,73.12,14612900
2000-08-01,75.19,75.88,72.88,73.12,14476600
2000-07-31,71.75,75.88,71.38,75.19,16301100
2000-07-28,75.12,76.44,71.06,72.38,16231600
2000-07-27,75.94,78.00,74.88,75.06,15635200
2000-07-26,74.81,78.00,74.06,76.75,13964300
2000-07-25,75.88,76.50,74.31,76.00,13274800
2000-07-24,77.12,78.62,74.94,75.00,18609400
2000-07-21,77.44,77.69,75.06,75.44,15004900
2000-07-20,74.81,79.50,74.75,78.12,16700400
2000-07-19,75.00,75.94,70.12,73.75,15402000
2000-07-18,75.69,76.62,73.88,74.19,14348300
2000-07-17,75.31,78.00,74.06,76.12,15859400
2000-07-14,76.19,76.50,75.12,76.12,15208200
2000-07-13,75.75,76.62,74.44,75.75,20439400
2000-07-12,73.44,75.12,73.00,74.69,16955200
2000-07-11,73.62,75.25,71.12,72.31,20770700
2000-07-10,74.62,75.50,72.88,74.12,21586900
2000-07-07,75.94,77.00,75.50,75.88,15296700
2000-07-06,71.75,75.88,71.75,75.62,24985700
2000-07-05,76.81,77.25,71.50,72.31,45977000
2000-07-03,81.12,81.75,78.88,80.19,20697700
